track.name,artist.name,grammy.year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,grammy.win
Gigi,Various Artists,1959,0.301,0.132,0,-14.95,1,0.0342,0.832,7.36E-06,0.211,0.369,167.237,audio_features,6j7o72c7jVIlvJOW6PgWeT,spotify:track:6j7o72c7jVIlvJOW6PgWeT,https://api.spotify.com/v1/tracks/6j7o72c7jVIlvJOW6PgWeT,https://api.spotify.com/v1/audio-analysis/6j7o72c7jVIlvJOW6PgWeT,215733,3,0
Witchcraft - Remastered 2000,Frank Sinatra,1959,0.504,0.247,0,-13.02,1,0.0342,0.71,0,0.157,0.434,116.124,audio_features,6fiFNYu2041YiEqSijti88,spotify:track:6fiFNYu2041YiEqSijti88,https://api.spotify.com/v1/tracks/6fiFNYu2041YiEqSijti88,https://api.spotify.com/v1/audio-analysis/6fiFNYu2041YiEqSijti88,173067,4,0
Fever,Peggy Lee,1959,0.838,0.171,4,-12.614,0,0.0729,0.23,0,0.11,0.397,135.925,audio_features,3aPlQWU07jGgyHaBHVS5TS,spotify:track:3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS,199600,4,0
Catch A Falling Star - Remastered - 1992,Perry Como,1959,0.702,0.254,0,-11.369,1,0.0604,0.87,0,0.115,0.576,118.998,audio_features,14ZpFMyZKRFZfaVCiOBLYE,spotify:track:14ZpFMyZKRFZfaVCiOBLYE,https://api.spotify.com/v1/tracks/14ZpFMyZKRFZfaVCiOBLYE,https://api.spotify.com/v1/audio-analysis/14ZpFMyZKRFZfaVCiOBLYE,149040,4,0
Small World,Johnny Mathis,1960,0.248,0.413,4,-9.095,1,0.035,0.658,0,0.14,0.313,113.593,audio_features,2DugUShG2wj81Zf51l29Je,spotify:track:2DugUShG2wj81Zf51l29Je,https://api.spotify.com/v1/tracks/2DugUShG2wj81Zf51l29Je,https://api.spotify.com/v1/audio-analysis/2DugUShG2wj81Zf51l29Je,200933,3,0
Like Young,André Previn,1960,0.448,0.272,5,-17.019,0,0.0265,0.308,3.06E-05,0.261,0.546,63.021,audio_features,4mMKdVHkaHyza6UOeFZR0m,spotify:track:4mMKdVHkaHyza6UOeFZR0m,https://api.spotify.com/v1/tracks/4mMKdVHkaHyza6UOeFZR0m,https://api.spotify.com/v1/audio-analysis/4mMKdVHkaHyza6UOeFZR0m,194213,4,0
High Hopes - Remastered,Frank Sinatra,1960,0.723,0.218,3,-9.071,1,0.0336,0.784,0,0.171,0.774,138.366,audio_features,1L8GpUwKMTLvQWoa3qvyvt,spotify:track:1L8GpUwKMTLvQWoa3qvyvt,https://api.spotify.com/v1/tracks/1L8GpUwKMTLvQWoa3qvyvt,https://api.spotify.com/v1/audio-analysis/1L8GpUwKMTLvQWoa3qvyvt,160507,4,0
He'll Have to Go,Jim Reeves,1961,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,audio_features,7DH5dXVuQaqcKf9oTy9oUN,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/audio-analysis/7DH5dXVuQaqcKf9oTy9oUN,138640,3,0
Nice 'n' Easy - Remastered,Frank Sinatra,1961,0.536,0.148,0,-14.903,1,0.031,0.772,0,0.101,0.509,109.295,audio_features,5Z7bkW3dsu8jLdv3dEGxly,spotify:track:5Z7bkW3dsu8jLdv3dEGxly,https://api.spotify.com/v1/tracks/5Z7bkW3dsu8jLdv3dEGxly,https://api.spotify.com/v1/audio-analysis/5Z7bkW3dsu8jLdv3dEGxly,165760,4,0
"The Theme from ""A Summer Place"" - Single Version",Percy Faith & His Orchestra,1961,0.466,0.389,5,-12.825,1,0.0253,0.631,0.843,0.295,0.749,92.631,audio_features,2kKL5kk4On8YRSKWDgXWMX,spotify:track:2kKL5kk4On8YRSKWDgXWMX,https://api.spotify.com/v1/tracks/2kKL5kk4On8YRSKWDgXWMX,https://api.spotify.com/v1/audio-analysis/2kKL5kk4On8YRSKWDgXWMX,144893,4,0
